Title of work,Artist or author display,Start Date,End Date,Date,Type of Item,Partner institutions,"Latitude,Longitude",Latitude,Longitude,Location name,Image (link),Record url,Subject 1,Subject 2,Subject 3,Subject 4,Subject 5,Subject 6,Additional Subjects,Additional Subjects,Additional Subjects,Additional Subjects,Additional Subjects,Additional Subjects,Additional Subjects,Additional Subjects,Additional Subjects,Additional Subjects,Additional Subjects,Additional Subjects,Additional Subjects,Additional Subjects,Additional Subjects,Additional Subjects
"Daily Sketch, Number 1898, April 9, 1915","Robinson, William Sugden, 1881-1968",1915,1915,1915,,University of Pretoria Library,"52.1604499948,-0.703119999902",52.1604499948,-0.703119999902,Europe United Kingdom of Great Britain and Northern Ireland England,"https://content.wdl.org/iiif/19079,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/19079/,"Computer science, information, general works","Documentary media, educational media, news media",journalism,publishing,Journalism and newspapers in British Isles,History & geography,History of Europe,British Isles,English newspapers,Fashion,Murder,Politics and government,Popular culture,War,"World War, 1914-1918",,,,,,,
"Daily Sketch, Number 1903, April 15, 1915","Robinson, William Sugden, 1881-1968",1915,1915,1915,,University of Pretoria Library,"52.1604499948,-0.703119999902",52.1604499948,-0.703119999902,Europe United Kingdom of Great Britain and Northern Ireland England,"https://content.wdl.org/iiif/19084,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/19084/,"Computer science, information, general works","Documentary media, educational media, news media",journalism,publishing,Journalism and newspapers in British Isles,History & geography,History of Europe,British Isles,English newspapers,"Neuve-Chapelle, Battle of, Neuve-Chapelle, France, 1915",Politics and government,Popular culture,War,"World War, 1914-1918",,,,,,,,
"Daily Sketch, Number 1911, April 24, 1915","Robinson, William Sugden, 1881-1968",1915,1915,1915,,University of Pretoria Library,"52.1604499948,-0.703119999902",52.1604499948,-0.703119999902,Europe United Kingdom of Great Britain and Northern Ireland England,"https://content.wdl.org/iiif/19092,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/19092/,"Computer science, information, general works","Documentary media, educational media, news media",journalism,publishing,Journalism and newspapers in British Isles,History & geography,History of Europe,British Isles,English newspapers,Fashion,Politics and government,Popular culture,War,"World War, 1914-1918",,,,,,,,
"Daily Sketch, Number 1912, April 26, 1915","Robinson, William Sugden, 1881-1968",1915,1915,1915,,University of Pretoria Library,"52.1604499948,-0.703119999902",52.1604499948,-0.703119999902,Europe United Kingdom of Great Britain and Northern Ireland England,"https://content.wdl.org/iiif/19093,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/19093/,"Computer science, information, general works","Documentary media, educational media, news media",journalism,publishing,Journalism and newspapers in British Isles,History & geography,History of Europe,British Isles,English newspapers,Fashion,Politics and government,Popular culture,War,"World War, 1914-1918",,,,,,,,
"Daily Sketch, Number 1927, May 13, 1915","Robinson, William Sugden, 1881-1968",1915,1915,1915,,University of Pretoria Library,"52.1604499948,-0.703119999902",52.1604499948,-0.703119999902,Europe United Kingdom of Great Britain and Northern Ireland England,"https://content.wdl.org/iiif/19108,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/19108/,"Computer science, information, general works","Documentary media, educational media, news media",journalism,publishing,Journalism and newspapers in British Isles,History & geography,History of Europe,British Isles,English newspapers,Germans,Politics and government,Popular culture,Protest movements,War,"World War, 1914-1918",,,,,,,
"Daily Sketch, Number 1968, June 30, 1915","Robinson, William Sugden, 1881-1968",1915,1915,1915,,University of Pretoria Library,"52.1604499948,-0.703119999902",52.1604499948,-0.703119999902,Europe United Kingdom of Great Britain and Northern Ireland England,"https://content.wdl.org/iiif/19149,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/19149/,"Computer science, information, general works","Documentary media, educational media, news media",journalism,publishing,Journalism and newspapers in British Isles,History & geography,History of Europe,British Isles,English newspapers,Fashion,Politics and government,Popular culture,War,"World War, 1914-1918",,,,,,,,
"Daily Sketch, Number 2224, April 25, 1916","Robinson, William Sugden, 1881-1968",1916,1916,1916,,University of Pretoria Library,"52.1604499948,-0.703119999902",52.1604499948,-0.703119999902,Europe United Kingdom of Great Britain and Northern Ireland England,"https://content.wdl.org/iiif/19191,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/19191/,"Computer science, information, general works","Documentary media, educational media, news media",journalism,publishing,Journalism and newspapers in British Isles,History & geography,History of Europe,British Isles,English newspapers,Fashion,Politics and government,Popular culture,War,"World War, 1914-1918",,,,,,,,
"Daily Sketch, Number 2251, May 26, 1916","Robinson, William Sugden, 1881-1968",1916,1916,1916,,University of Pretoria Library,"52.1604499948,-0.703119999902",52.1604499948,-0.703119999902,Europe United Kingdom of Great Britain and Northern Ireland England,"https://content.wdl.org/iiif/19218,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/19218/,"Computer science, information, general works","Documentary media, educational media, news media",journalism,publishing,Journalism and newspapers in British Isles,History & geography,History of Europe,British Isles,English newspapers,Politics and government,Popular culture,War,"World War, 1914-1918",,,,,,,,,
Book of Hours,undefined,1300,1325,"1300,1325",,Walters Art Museum,"49.0997199948,3.75749999948",49.0997199948,3.75749999948,"Europe Belgium Hainaut,Europe France Marne Châtillon-sur-Marne","https://content.wdl.org/iiif/19223,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/19223/,Religion,Christian moral & devotional theology,Devotional literature,Bible. New Testament,Books of hours,Breviaries,Codex,Illuminations,Miniatures (Illuminations),Prayers,Psalms,Saints,,,,,,,,,,
Book of Hours of Daniel Rym,"Master of Guillebert de Mets, active 1410-1445",1420,1430,"1420,1430",,Walters Art Museum,"51.0,4.5",51.0,4.5,Europe Belgium Flanders,"https://content.wdl.org/iiif/19226,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/19226/,Religion,Christian moral & devotional theology,Devotional literature,Bible. New Testament,Books of hours,Breviaries,Codex,Illuminations,Miniatures (Illuminations),Prayers,Psalms,Saints,,,,,,,,,,
"Cabool: A Personal Narrative of a Journey to, and Residence in That City, in the Years 1836, 7, and 8","Burnes, Alexander, Sir, 1805-1841,William Clowes and Sons",1843,1843,1843,,Library of Congress,"34.4999999958,61.9999999914",34.4999999958,61.9999999914,"Central and South Asia Afghanistan Herāt Herat,Central and South Asia Afghanistan Kābul Kābul,Central and South Asia Afghanistan Nangarhār Jalālābād,Central and South Asia Pakistan Northwest Frontier Peshāwar,Central and South Asia Pakistan Punjab Lahore,Central and South Asia Pakistan Sindh Shikarpur","https://content.wdl.org/iiif/19380,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/19380/,History & geography,Geography & travel,Geography of & travel in Asia,History of Asia,Far East,Central Asia,Afghan–Sikh Wars,Cities and towns,Description and travel,"Dōst Moḥammad Khān, Amir of Afghanistan, 1793-1863",Great Britain -- Foreign relations,Great Game (South Asia),Hazāras,Indus River,Library of Congress Afghanistan Project,Politics and government,,,,,,
"The Judgment of the Sword. The Tale of the Kabul Tragedy, and of the Part Played Therein by Major Eldred Pottinger, the Hero of Herat","Diver, Maud, 1867-1945,Knickerbocker Press",1913,1913,1913,,Library of Congress,"34.4999999958,61.9999999914",34.4999999958,61.9999999914,"Central and South Asia Afghanistan Herāt Herat,Central and South Asia Afghanistan Kābul Kābul,Central and South Asia Afghanistan Laghmān Mehtar Lām,Central and South Asia Afghanistan Parwān Chārīkār","https://content.wdl.org/iiif/19382,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/19382/,Literature & rhetoric,English and Old English (Anglo-Saxon) literatures,English fiction,History & geography,History of Asia,Far East,South Asia,India,Adventure stories,Afghan Wars,Great Britain -- Foreign relations,Great Game (South Asia),Library of Congress Afghanistan Project,"Pottinger, Eldred, 1811-1843",,,,,,,,
“Tui bei tu:” An Illustrated Prophecy Book,"Li, Chunfeng, 602-670,Yuan, Tiangang, died 627",1644,1911,"1644,1911",,National Central Library,"39.9075,116.39723",39.9075,116.39723,East Asia China,"https://content.wdl.org/iiif/19486,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/19486/,Philosophy & psychology,Parapsychology & occultism,"Parapsychological and occult methods for achieving well-being, happiness, success",History & geography,History of Asia,Far East,China & adjacent areas,Chinese poetry,Divination,Occultism,"Tang dynasty, 618-907",,,,,,,,,,,
Chronicle of the World,"Rudolf von Ems, 1200-1254",1300,1300,1300,,Bavarian State Library,"48.5664999949,13.4312199981",48.5664999949,13.4312199981,Europe Germany Bavaria Passau,"https://content.wdl.org/iiif/19515,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/19515/,History & geography,"Biography, genealogy & insignia","Genealogy, names & insignia",History of Europe,Central Europe,Germany,Bible. Old Testament,Biography,Chronicles,History,Illuminations,Kings and rulers,Miniatures (Illuminations),,,,,,,,,
"The War. Documents from the Photographic Division of the Army, Fascicle XIX: The Somme Offensive","Ardouin-Dumazet, Victor-Eugène, 1852-1940,France. Ministry of War. Photographic Section of the Army",1916,1916,1916,,National Library of Brazil,"49.9166699948,2.49999999965",49.9166699948,2.49999999965,Europe France Somme,"https://content.wdl.org/iiif/20062,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/20062/,Social sciences,Public administration & military science,Infantry forces & warfare,History & geography,History of Europe,Artillery (Weaponry),Ruins,Soldiers,"Somme, 1st Battle of the, France, 1916",Trench warfare,War,War damage,"World War, 1914-1918",,,,,,,,,
The Fisher-boy Urashima,"Chamberlain, Basil Hall, 1850-1935,Kobayashi, Eitaku, 1843-1890",1886,1886,1886,,National Diet Library,"35.6895,139.69171",35.6895,139.69171,East Asia Japan,"https://content.wdl.org/iiif/20191,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/20191/,Social sciences,"Customs, etiquette & folklore",Folklore,Literature & rhetoric,Literatures of other specific languages and language families,Literatures of East & Southeast Asia,Fairy tales,Fishers,"Gods, Japanese",Japanese literature,,,,,,,,,,,,
"Through the Brazilian Wilderness, by Theodore Roosevelt: With Illustrations from Photographs by Kermit Roosevelt and Other Members of the Expedition","Roosevelt, Theodore, 1858-1919,Roosevelt, Kermit, 1889-1943",1914,1914,1914,,Library of Congress,"-15.77972,-47.92972",-15.77972,-47.92972,Latin America and the Caribbean Brazil,"https://content.wdl.org/iiif/215,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/215/,History & geography,Geography & travel,Geography of & travel in South America,History of North America,United States,Expeditions and surveys,Rivers,Roosevelt River (Brazil),"Roosevelt, Theodore, 1858-1919",Zoology,,,,,,,,,,,,
"A Brief Guide to the West Lake Excursions, with Selections and Supplements","Gao, Yingke,Tian, Rucheng, 1503-1557,Chen, Youfu,Wu, Xi,Huang, Ruzhi,Huang, Shangzhong,Huang, Yingguang,Wu, Yuanlan",1573,1620,"1573,1620",,Library of Congress,"30.2936499962,120.161419983",30.2936499962,120.161419983,East Asia China Zhejiang Province Hangzhou,"https://content.wdl.org/iiif/2339,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/2339/,History & geography,Geography & travel,Geography of & travel in Asia,Chinese poetry,Cities and towns,West Lake (China),,,,,,,,,,,,,,,,
Standard Characters of the Classics Compiled for Free Schools,"Guo, Yijing,Shen, Li, 1531-1615,Gu, Chong,Zhang, Ti, jin shi 1538",1573,1620,"1573,1620",,Library of Congress,"39.9075,116.39723",39.9075,116.39723,East Asia China,"https://content.wdl.org/iiif/2351,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/2351/,Language,Other languages,Languages of East & Southeast Asia,Chinese classics,Chinese literature,Confucianism,"Philosophy, Confucian",,,,,,,,,,,,,,,
Monograph on Buddha Sakyamuni’s Birth-Place in the Nepalese Tarai,"Führer, Alois Anton, 1853-1930",1897,1897,1897,,Library of Congress,"27.48619,83.27714",27.48619,83.27714,Central and South Asia Nepal Western Lumbini,"https://content.wdl.org/iiif/2371,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/2371/,Religion,Other religions,Religions of Indic origin,History & geography,History of Asia,Far East,South Asia,India,"Aśoka, King of Magadha, flourished 259 B.C.",Buddhist antiquities,Buddhist inscriptions,Gautama Buddha,Tarai (India and Nepal),,,,,,,,,
"History of Corea, Ancient and Modern; with Description of Manners and Customs, Language and Geography","Ross, John, 1842-1915",1891,1891,1891,,Library of Congress,"39.03385,125.75432",39.03385,125.75432,"East Asia Democratic People's Republic of Korea,East Asia Republic of Korea","https://content.wdl.org/iiif/2374,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/2374/,Social sciences,"Customs, etiquette & folklore",History & geography,History of Asia,Far East,China & adjacent areas,Korean language,Manners and customs,,,,,,,,,,,,,,
Korea,"Hamilton, A. (Angus), 1874-1913",1904,1904,1904,,Library of Congress,"39.03385,125.75432",39.03385,125.75432,"East Asia Democratic People's Republic of Korea,East Asia Republic of Korea","https://content.wdl.org/iiif/2375,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/2375/,History & geography,History of Asia,Far East,China & adjacent areas,Description and travel,Economic conditions,,,,,,,,,,,,,,,,
"Chosön, the Land of the Morning Calm; a Sketch of Korea","Lowell, Percival, 1855-1916",1888,1888,1888,,Library of Congress,"39.03385,125.75432",39.03385,125.75432,"East Asia Democratic People's Republic of Korea,East Asia Republic of Korea","https://content.wdl.org/iiif/2377,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/2377/,History & geography,Geography & travel,Geography of & travel in Asia,History of Asia,Far East,China & adjacent areas,Description and travel,"Lowell, Percival, 1855-1916",,,,,,,,,,,,,,
Siberia,"Price, M. Philips (Morgan Philips), 1885-1973",1914,1914,1914,,Library of Congress,"47.90771,106.88324",47.90771,106.88324,"East Asia Mongolia,Europe Russian Federation","https://content.wdl.org/iiif/2380,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/2380/,History & geography,History of Asia,Far East,China & adjacent areas,Siberia (Asiatic Russia),Colonization,Description and travel,Economic conditions,Siberia,Trans-Siberian Railroad,,,,,,,,,,,,
"A Voyage to the East Indies: Containing Authentic Accounts of the Mogul Government in General, the Viceroyalties of the Decan and Bengal, with Their Several Subordinate Dependencies","Carmichael, John, around 1751,Grose, John Henry, around 1750-1783",1772,1772,1772,,Library of Congress,"23.7104,90.40744",23.7104,90.40744,"Central and South Asia Bangladesh,Central and South Asia India,Europe United Kingdom of Great Britain and Northern Ireland,Middle East and North Africa Iraq,Middle East and North Africa Syrian Arab Republic","https://content.wdl.org/iiif/2386,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/2386/,History & geography,Geography & travel,Geography of & travel in Asia,Description and travel,Great Britain--Colonies,,,,,,,,,,,,,,,,,
Bhotan and the Story of the Dooar War,"Rennie, D. F., died 1868",1866,1866,1866,,Library of Congress,"27.46609,89.64191",27.46609,89.64191,"Central and South Asia Bhutan,Central and South Asia India,Europe United Kingdom of Great Britain and Northern Ireland","https://content.wdl.org/iiif/2387,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/2387/,History & geography,History of Asia,Far East,South Asia,India,Bhutan war,Great Britain--Colonies,Himalaya Mountains,,,,,,,,,,,,,,
"Political Missions to Bootan, Comprising the Reports of the Hon'ble Ashley Eden,--1864; Capt. R.B. Pemberton, 1837, 1838, with Dr. W. Griffiths's Journal; and the Account by Baboo Kishen Kant Bose","Bose, Kishen Kant,Eden, Ashley, Sir, 1831-1887,Griffith, William, 1810-1845,Pemberton, R.B. (Robert Boileau),Scott, D.",1865,1865,1865,,Library of Congress,"27.46609,89.64191",27.46609,89.64191,"Central and South Asia Bhutan,Europe United Kingdom of Great Britain and Northern Ireland","https://content.wdl.org/iiif/2388,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/2388/,Social sciences,Political science,International relations,History & geography,History of Asia,Far East,South Asia,India,Description and travel,East India Company,Peace,Treaties,,,,,,,,,,
"The Burmese Empire a Hundred Years Ago, as Described by Father Sangermano, with an Introduction and Notes by John Jardine","Sangermano, Father, ?-1819,Jardine, John, 1844-1919,Wiseman, Nicholas Patrick, 1802-1865",1893,1893,1893,,Library of Congress,"19.745,96.12972",19.745,96.12972,Southeast Asia Myanmar,"https://content.wdl.org/iiif/2389,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/2389/,History & geography,History of Asia,Far East,Southeast Asia,Description and travel,,,,,,,,,,,,,,,,,
"A Narrative of the Mission Sent by the Governor-General of India to the Court of Ava in 1855, with Notices of the Country, Government, and People","Yule, Henry, Sir, 1820-1889",1858,1858,1858,,Library of Congress,"28.63576,77.22445",28.63576,77.22445,"Central and South Asia India,Europe United Kingdom of Great Britain and Northern Ireland,Southeast Asia Myanmar","https://content.wdl.org/iiif/2391,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/2391/,History & geography,Geography & travel,Geography of & travel in Asia,History of Asia,Far East,Southeast Asia,Description and travel,,,,,,,,,,,,,,,
Unpublished Documents on the History of the Seychelles Islands Anterior to 1810,"Fauvel, Albert-Auguste, 1851-1909",1909,1909,1909,,Library of Congress,"-4.61667,55.45",-4.61667,55.45,Africa Seychelles,"https://content.wdl.org/iiif/2396,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/2396/,History & geography,Geography & travel,"Atlases, maps, charts & plans",History of Africa,South Indian Ocean islands,France--Colonies,Great Britain--Colonies,,,,,,,,,,,,,,,
"Narrative of an Expedition to Explore the River Zaire, Usually Called the Congo, in South Africa, in 1816","Tuckey, James Hingston, 1776-1816,Smith, Christen",1818,1818,1818,,Library of Congress,"-4.32142,15.30807",-4.32142,15.30807,Africa Democratic Republic of the Congo,"https://content.wdl.org/iiif/2476,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/2476/,History & geography,Geography & travel,Geography of & travel in Africa,Congo River,Description and travel,Kongo language,Manners and customs,Natural history,Scientific expeditions,Voyages and travels,,,,,,,,,,,,
The History of the Caribby-Islands,"Rochefort, Charles de, 1605-1683,Breton, Raymond, 1609-1679,Davies, John, 1625-1693",1666,1666,1666,,Library of Congress,"13.1,-59.61667",13.1,-59.61667,Latin America and the Caribbean Barbados,"https://content.wdl.org/iiif/252,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/252/,History & geography,History of North America,Middle America,Mexico,"Antilles, Lesser",Apalachee Indians,Carib Indians,Carib language,Indians of the West Indies,Indigenous peoples,Natural history,,,,,,,,,,,
"Dahomey and the Dahomans: Being the Journals of Two Missions to the King of Dahomey, and Residence at His Capital, in the Year 1849 and 1850","Forbes, Frederick E.",1851,1851,1851,,Library of Congress,"6.49646,2.60359",6.49646,2.60359,Africa Benin,"https://content.wdl.org/iiif/2527,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/2527/,History & geography,Geography & travel,Geography of & travel in Africa,History of Africa,West Africa & offshore islands,Description and travel,Ewe language,Fon (African people),Fon dialect,"Gezo, King of Dahomey, died 1858",Indigenous peoples,Kings and rulers,Manners and customs,Slave trade,,,,,,,,
"Voyages and Travels in India, Ceylon, the Red Sea, Abyssinia, and Egypt, in the Years 1802, 1803, 1804, 1805, and 1806","Mountnorris, George Annesley, Earl of, 1769-1844",1809,1809,1809,,Library of Congress,"9.02497,38.74689",9.02497,38.74689,"Africa Ethiopia,Central and South Asia India,Central and South Asia Sri Lanka,Middle East and North Africa Egypt,Middle East and North Africa Yemen","https://content.wdl.org/iiif/2551,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/2551/,History & geography,Geography & travel,Geography of & travel in Asia,Geography of & travel in Africa,Description and travel,Red Sea,,,,,,,,,,,,,,,,
Narrative of an Expedition to the Zambesi and its Tributaries; and of the Discovery of the Lakes Shirwa and Nyassa. 1858-1864,"Livingstone, Charles, 1821-1873,Livingstone, David, 1813-1873",1865,1865,1865,,Library of Congress,"-13.96692,33.78725",-13.96692,33.78725,"Africa Malawi,Africa Mozambique","https://content.wdl.org/iiif/2565,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/2565/,History & geography,History of Africa,Central Africa & offshore islands,"Africa, Central","Chilwa, Lake (Malawi)",Description and travel,Expeditions and surveys,"Nyasa, Lake",Zambezi River,,,,,,,,,,,,,
"A Voyage Down the Amoor: With a Land Journey through Siberia, and Incidental Notices of Manchooria, Kamschatka, and Japan","Collins, Perry McDonough, 1813-1900",1860,1860,1860,,Library of Congress,"39.9075,116.39723",39.9075,116.39723,"East Asia China,East Asia Japan,Europe Russian Federation Amur Oblast","https://content.wdl.org/iiif/26,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/26/,History & geography,Geography & travel,Geography of & travel in Asia,Amur River (China and Russia),Description and travel,Meeting of Frontiers,Rivers,Siberia,,,,,,,,,,,,,,
"A New, Authentic, and Complete Collection of Voyages Round the World: Undertaken and Performed by Royal Authority, Containing a New, Authentic, Entertaining, Instructive, Full, and Complete Historical Account of Captain Cook's First, Second, Third, and Last Voyages, Undertaken by Order of His Present Majesty","Anderson, George William",1786,1786,1786,,Library of Congress,"51.50853,-0.12574",51.50853,-0.12574,"Europe United Kingdom of Great Britain and Northern Ireland,Oceania and the Pacific Fiji,Oceania and the Pacific Tonga,Oceania and the Pacific Vanuatu,World","https://content.wdl.org/iiif/2674,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/2674/,History & geography,Geography & travel,"Cook, James, 1728-1779",Description and travel,Voyages around the world,,,,,,,,,,,,,,,,,
"A Voyage Round the World, Including an Embassy to Muscat and Siam in 1835, 1836, and 1837","Ruschenberger, W. S. W., 1807-1895",1838,1838,1838,,Library of Congress,"-6.17221,35.73947",-6.17221,35.73947,"Africa Tanzania, United Republic of,Central and South Asia India,Central and South Asia Sri Lanka,East Asia China,Latin America and the Caribbean Brazil,Latin America and the Caribbean Chile,Latin America and the Caribbean Mexico,Latin America and the Caribbean Peru,Middle East and North Africa Oman,Southeast Asia Indonesia,Southeast Asia Thailand,Southeast Asia Viet Nam,World","https://content.wdl.org/iiif/2884,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/2884/,History & geography,Geography & travel,Description and travel,Trade,Voyages around the world,,,,,,,,,,,,,,,,,
History of the Afghans,"Ullah, Neamet,Dorn, Bernhard, 1805-1881",1829,1829,1829,,Government College University Lahore,"34.52813,69.17233",34.52813,69.17233,Central and South Asia Afghanistan,"https://content.wdl.org/iiif/3034,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/3034/,Religion,Other religions,"Islam, Babism & Bahai Faith",History & geography,History of Asia,Far East,Central Asia,Library of Congress Afghanistan Project,Mogul Empire,Muslims,Pushtuns,Saints,,,,,,,,,,
"Illustrations of China and Its People: A Series of Two Hundred Photographs, with Letterpress Descriptive of the Places and People Represented","Thomson, John, 1837-1921",1873,1874,"1873,1874",,Yale University Library,"39.9075,116.39723",39.9075,116.39723,East Asia China,"https://content.wdl.org/iiif/3083,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/3083/,History & geography,History of Asia,Far East,China & adjacent areas,Cities and towns,Clothing and dress,Description and travel,Group portraits,Portrait photographs,Street scenes,,,,,,,,,,,,
"History of Armenia, by Father Michael Chamich; from B. C. 2247 to the Year of Christ 1780, or 1229 of the Armenian Era","Chʻamchʻyantsʻ, Mikʻayel, 1738-1823,Avdaleantsʻ, Hovhannēs, 1803-1870",1827,1827,1827,,Library of Congress,"40.18111,44.51361",40.18111,44.51361,Middle East and North Africa Armenia,"https://content.wdl.org/iiif/316,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/316/,History & geography,History of Asia,Far East,Middle East (Near East),,,,,,,,,,,,,,,,,,
"An Historical Survey of the French Colony in the Island of St. Domingo: Comprehending a Short Account of Its Ancient Government, Political State, Population, Productions, and Exports","Edwards, Bryan, 1743-1800",1797,1797,1797,,Library of Congress,"51.50853,-0.12574",51.50853,-0.12574,"Europe United Kingdom of Great Britain and Northern Ireland,Latin America and the Caribbean Dominican Republic,Latin America and the Caribbean Haiti","https://content.wdl.org/iiif/340,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/340/,History & geography,History of North America,Middle America,Mexico,"Haiti, Revolution, 1791-1804",Slavery,,,,,,,,,,,,,,,,
The Song of the Nibelungs (Codex A),undefined,1275,1300,"1275,1300",,Bavarian State Library,"51.4999999948,10.4999999985",51.4999999948,10.4999999985,Europe Germany,"https://content.wdl.org/iiif/4116,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/4116/,Literature & rhetoric,Literatures of Germanic languages,German poetry,History & geography,History of Europe,Codex,Epic poetry,Memory of the World,Nibelungen,Poetry,,,,,,,,,,,,
"Nursery Tales, Traditions, and Histories of the Zulus in their Own Words: With a Translation into English, and Notes by the Rev. Canon Callaway. Volume 1","Callaway, Henry, 1817-1890",1868,1868,1868,,University of Pretoria Library,"-25.74486,28.18783",-25.74486,28.18783,Africa South Africa,"https://content.wdl.org/iiif/4324,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/4324/,Social sciences,"Customs, etiquette & folklore",Literature & rhetoric,Literatures of other specific languages and language families,African literatures,Children's books,"Children's stories, Zulu",Zulu (African people),Zulu language,,,,,,,,,,,,,
The Gentleman Digger: Being Studies and Pictures of Life in Johannesburg,"Brémont, Anna de, Comtesse, 1864-1922",1899,1899,1899,,University of Pretoria Library,"-26.20227,28.04363",-26.20227,28.04363,Africa South Africa Gauteng Johannesburg,"https://content.wdl.org/iiif/4325,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/4325/,History & geography,History of Africa,Southern Africa,Republic of South Africa,Gold miners,Gold mines and mining,Manners and customs,,,,,,,,,,,,,,,
Two Years in the French West Indies,"Hearn, Lafcadio, 1850-1904",1890,1890,1890,,Library of Congress,"14.666669998,-60.9999999915",14.666669998,-60.9999999915,"Europe France Martinique,Latin America and the Caribbean","https://content.wdl.org/iiif/4396,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/4396/,History & geography,Geography & travel,Geography of & travel in North America,"Antilles, Lesser",Description and travel,West Indies,"West Indies, French",,,,,,,,,,,,,,,
The Present State of the West-Indies: Containing an Accurate Description of What Parts Are Possessed by the Several Powers in Europe,"Kitchin, Thomas, 1718-1784",1778,1778,1778,,Library of Congress,"-9.99999999862,-54.9999999923",-9.99999999862,-54.9999999923,Latin America and the Caribbean,"https://content.wdl.org/iiif/4397,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/4397/,History & geography,Geography & travel,Geography of & travel in North America,Denmark--Colonies,Description and travel,France--Colonies,Great Britain--Colonies,Netherlands--Colonies,Spain--Colonies,West Indies,,,,,,,,,,,,
Subscribe to the 8th War Loan,"Lenz, Maximilian, 1860-1948",1918,1918,1918,,Library of Congress,"48.20849,16.37208",48.20849,16.37208,Europe Austria,"https://content.wdl.org/iiif/4644,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/4644/,Social sciences,Economics,Financial economics,History & geography,History of Europe,Banks and banking,Dragons,Economic conditions,Goddesses,Horses,War bonds and funds,War posters,"World War, 1914-1918",,,,,,,,,
Biography of the Dragon-like Heavenly Sovereign and Emperor of High Virtue,"Jia, Shanxiang",1368,1644,"1368,1644",,Library of Congress,"39.9075,116.39723",39.9075,116.39723,East Asia China,"https://content.wdl.org/iiif/4677,1,1/full/!1024,1024/0/default.jpg",https://www.wdl.org/en/item/4677/,Philosophy & psychology,"Ancient, medieval & eastern philosophy",Eastern philosophy,Biography,Laozi,,,,,,,,,,,,,,,,,
